동별,계,65세이상고령자,per,시설합계,fac_per,tot_per
소계,9682126,1650367,5.87,3869,100.0,0.0
중구,130764,24841,5.26,54,1.4,26.62
종로구,151999,27787,5.47,74,1.91,34.92
금천구,243872,42444,5.75,84,2.17,37.74
광진구,351073,53405,6.57,104,2.69,40.94
용산구,233734,38784,6.03,111,2.87,47.6
관악구,500750,81713,6.13,131,3.39,55.3
서대문구,317159,55404,5.72,125,3.23,56.47
서초구,409025,61703,6.63,145,3.75,56.56
강동구,464490,77349,6.01,136,3.52,58.57
마포구,376062,55525,6.77,170,4.39,64.84
강북구,298622,65655,4.55,118,3.05,67.03
동작구,392628,67863,5.79,151,3.9,67.36
중랑구,391110,74112,5.28,141,3.64,68.94
동대문구,353181,63807,5.54,148,3.83,69.13
강남구,534988,80836,6.62,190,4.91,74.17
송파구,665847,102103,6.52,189,4.88,74.85
성동구,288941,47347,6.1,177,4.57,74.92
양천구,445270,71333,6.24,190,4.91,78.69
도봉구,314884,66253,4.75,145,3.75,78.95
성북구,442596,76719,5.77,184,4.76,82.5
영등포구,398938,64285,6.21,199,5.14,82.77
은평구,474124,89308,5.31,175,4.52,85.12
구로구,416570,75041,5.55,222,5.74,103.42
강서구,575813,95836,6.01,245,6.33,105.32
노원구,509686,90914,5.61,261,6.75,120.32
